"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value"
"2013","Poland","Total","Females","From 35 to 64 years","Asylum applicant","Person","1,250"
"2013","Poland","Total","Females","65 years or over","Asylum applicant","Person","50"
"2013","Poland","Total","Females","Unknown","Asylum applicant","Person","0"
"2013","Poland","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2013","Poland","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2013","Poland","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2013","Poland","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2013","Poland","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2013","Portugal","Total","Males","Less than 18 years","Asylum applicant","Person","85"
"2013","Portugal","Total","Males","From 18 to 34 years","Asylum applicant","Person","200"
"2013","Portugal","Total","Males","From 35 to 64 years","Asylum applicant","Person","80"
"2013","Portugal","Total","Males","65 years or over","Asylum applicant","Person","0"
"2013","Portugal","Total","Males","Unknown","Asylum applicant","Person","0"
"2013","Portugal","Total","Females","Less than 18 years","Asylum applicant","Person","55"
"2013","Portugal","Total","Females","From 18 to 34 years","Asylum applicant","Person","65"
"2013","Portugal","Total","Females","From 35 to 64 years","Asylum applicant","Person","15"
"2013","Portugal","Total","Females","65 years or over","Asylum applicant","Person","0"
"2013","Portugal","Total","Females","Unknown","Asylum applicant","Person","0"
"2013","Portugal","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2013","Portugal","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2013","Portugal","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2013","Portugal","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2013","Portugal","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2013","Romania","Total","Males","Less than 18 years","Asylum applicant","Person","225"
"2013","Romania","Total","Males","From 18 to 34 years","Asylum applicant","Person","545"
"2013","Romania","Total","Males","From 35 to 64 years","Asylum applicant","Person","260"
"2013","Romania","Total","Males","65 years or over","Asylum applicant","Person","5"
"2013","Romania","Total","Males","Unknown","Asylum applicant","Person","0"
"2013","Romania","Total","Females","Less than 18 years","Asylum applicant","Person","165"
"2013","Romania","Total","Females","From 18 to 34 years","Asylum applicant","Person","170"
"2013","Romania","Total","Females","From 35 to 64 years","Asylum applicant","Person","110"
"2013","Romania","Total","Females","65 years or over","Asylum applicant","Person","10"
"2013","Romania","Total","Females","Unknown","Asylum applicant","Person","0"
"2013","Romania","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2013","Romania","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2013","Romania","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2013","Romania","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2013","Romania","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2013","Slovenia","Total","Males","Less than 18 years","Asylum applicant","Person","50"
"2013","Slovenia","Total","Males","From 18 to 34 years","Asylum applicant","Person","135"
"2013","Slovenia","Total","Males","From 35 to 64 years","Asylum applicant","Person","45"
"2013","Slovenia","Total","Males","65 years or over","Asylum applicant","Person","0"
"2013","Slovenia","Total","Males","Unknown","Asylum applicant","Person","0"
"2013","Slovenia","Total","Females","Less than 18 years","Asylum applicant","Person","15"
"2013","Slovenia","Total","Females","From 18 to 34 years","Asylum applicant","Person","15"
"2013","Slovenia","Total","Females","From 35 to 64 years","Asylum applicant","Person","10"
"2013","Slovenia","Total","Females","65 years or over","Asylum applicant","Person","0"
"2013","Slovenia","Total","Females","Unknown","Asylum applicant","Person","0"
"2013","Slovenia","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2013","Slovenia","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2013","Slovenia","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2013","Slovenia","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2013","Slovenia","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2013","Slovakia","Total","Males","Less than 18 years","Asylum applicant","Person","20"
"2013","Slovakia","Total","Males","From 18 to 34 years","Asylum applicant","Person","0"
"2013","Slovakia","Total","Males","From 35 to 64 years","Asylum applicant","Person","0"
"2013","Slovakia","Total","Males","65 years or over","Asylum applicant","Person","0"
"2013","Slovakia","Total","Males","Unknown","Asylum applicant","Person","0"
"2013","Slovakia","Total","Females","Less than 18 years","Asylum applicant","Person","0"
